上联,下联
晚风摇树树还挺,晨露润花花更红
愿景天成无墨迹,万方乐奏有于阗
丹枫江冷人初去,绿柳堤新燕复来
忽忽几晨昏，离别间之，疾病间之，不及终年同静好,茕茕小儿女，孱羸若此，娇憨若此，更烦二老费精神
闲来野钓人稀处,兴起高歌酒醉中
毋人负我，毋我负人，柳下虽和有介称，先生字此，可以谥此,爱老臣少，爱少臣老，冯唐为郎无倦意，吾辈慕之，不能效之
投石向天跟命斗,闭门问卷与时争
深院落滕花，石不点头龙不语,残经凋贝叶，香无飞篆磬无声
不畏鸿门传汉祚,难堪垓下别虞姬
新居落成创业始,宏图初振治家先
本领高强攀月桂,成亲吉利放兰香
豪华超御苑,康乐驻山城
常夸海口无人信,不做夜郎有客邀
屋后千年树,门前万顷荷
恶人无道天收佢,妙笔生花韵溢香
历史名城，九水回澜，飞扬吴楚三千韵,人文古邑，万山叠翠，蔚起江淮第一春
修竹翠萝寒，天雾萦身，月香满袖,绿水红云绕，柳阴浮桨，花露侵诗
时见流莺鸣柳岸,偶观雨燕栖寒檐
万险何辞？为圆大漠科研梦,一心不改，永做中华求索人
披肝沥胆洒情，杏坛犹靠良师带,刻骨铭心立志，国梦更凭学子圆
张琴邀淡月,洒酒酹苍天
吴祖光,吕子明
风气首开，最爱云中腾细浪,烟霞尽染，只疑天上置琼楼
不知有汉诸般事,哪管先生何许人
汪洋大海多瑰宝,骇浪惊涛有巨鳌
天池布水，仙境耕云，三岛光明遍,黑虎破石，玉屏立雪，九龙幽洞飞
世上功名皆看淡,书中文字自流芳
放倒昆仑当睡枕,拿来北斗做汤勺
一举三思，尽由人心宛转,千方百计，难逃天理循环
客中莫问鲈鱼味,厨下正烧紫菜汤
醉酒非因人寂寞,凭栏只为意阑珊
媒体曝光，惊呼物价频频涨,劳工叹气，祈盼薪酬点点加
金蛇狂舞多生气,天马行空挺费神
留些厚道予人处,换点冥钱到死时
建党创军，开天辟地锤镰举,富民强国，指路领航旗帜扬
百花齐放春签令,异曲同工酒醉人
